,agency,sku,volume,date,industry_volume,soda_volume,avg_max_temp,price_regular,price_actual,discount,avg_population_2017,avg_yearly_household_income_2017,easter_day,good_friday,new_year,christmas,labor_day,independence_day,revolution_day_memorial,regional_games,fifa_u_17_world_cup,football_gold_cup,beer_capital,music_fest,discount_in_percent
0,Agency_22,SKU_01,52.272,2013-01-01,492612703,718394219,25.8452381,1168.903668,1069.166193,99.737475,48151,132110,0,0,1,0,0,0,0,0,0,0,0,0,8.532565833303545
1,Agency_22,SKU_02,110.7,2013-01-01,492612703,718394219,25.8452381,1167.0,1067.2575,99.7425,48151,132110,0,0,1,0,0,0,0,0,0,0,0,0,8.54691516709512
2,Agency_58,SKU_23,0.0,2013-01-01,492612703,718394219,22.21973684,0.0,0.0,0.0,1620969,105857,0,0,1,0,0,0,0,0,0,0,0,0,0.0
3,Agency_48,SKU_07,28.32,2013-01-01,492612703,718394219,24.05289256,1143.50339,1143.50339,0.0,1739969,210213,0,0,1,0,0,0,0,0,0,0,0,0,0.0
4,Agency_22,SKU_05,238.5387,2013-01-01,492612703,718394219,25.8452381,1310.176057,1203.875711,106.300346,48151,132110,0,0,1,0,0,0,0,0,0,0,0,0,8.113439826049271
5,Agency_58,SKU_17,0.0,2013-01-01,492612703,718394219,22.21973684,0.0,0.0,0.0,1620969,105857,0,0,1,0,0,0,0,0,0,0,0,0,0.0
6,Agency_31,SKU_01,126.36,2013-01-01,492612703,718394219,28.67435897,1150.0,1121.542097,28.457903,181063,102731,0,0,1,0,0,0,0,0,0,0,0,0,2.4746002608695643
7,Agency_48,SKU_02,475.790396,2013-01-01,492612703,718394219,24.05289256,1212.326419,1199.161654,13.164765,1739969,210213,0,0,1,0,0,0,0,0,0,0,0,0,1.0859092727566788
8,Agency_40,SKU_04,1.1502,2013-01-01,492612703,718394219,24.07901235,0.0,0.0,0.0,143299,137912,0,0,1,0,0,0,0,0,0,0,0,0,0.0
9,Agency_48,SKU_05,1823.525772,2013-01-01,492612703,718394219,24.05289256,1323.676644,1234.592021,89.084623,1739969,210213,0,0,1,0,0,0,0,0,0,0,0,0,6.730089512707302
10,Agency_53,SKU_04,2403.8541,2013-01-01,492612703,718394219,23.89354839,1730.734055,1666.63685,64.097205,1729177,111048,0,0,1,0,0,0,0,0,0,0,0,0,3.70346933515443
11,Agency_20,SKU_04,1642.4217,2013-01-01,492612703,718394219,22.21973684,1740.68464,1591.968742,148.715898,1825752,102317,0,0,1,0,0,0,0,0,0,0,0,0,8.543529056475153
12,Agency_31,SKU_02,23.868,2013-01-01,492612703,718394219,28.67435897,1102.188658,1082.072627,20.116031,181063,102731,0,0,1,0,0,0,0,0,0,0,0,0,1.8250987119121689
13,Agency_31,SKU_05,14.5053,2013-01-01,492612703,718394219,28.67435897,1468.521127,1443.306239,25.214888,181063,102731,0,0,1,0,0,0,0,0,0,0,0,0,1.717025893356451
14,Agency_49,SKU_23,0.0,2013-01-01,492612703,718394219,24.05289256,0.0,0.0,0.0,1880416,154532,0,0,1,0,0,0,0,0,0,0,0,0,0.0
15,Agency_41,SKU_01,4324.104,2013-01-01,492612703,718394219,23.89354839,1133.284019,1069.996793,63.287226,1573238,125229,0,0,1,0,0,0,0,0,0,0,0,0,5.584409992461027
16,Agency_13,SKU_01,6269.508,2013-01-01,492612703,718394219,22.21973684,1205.013714,1123.530838,81.482876,1520066,110666,0,0,1,0,0,0,0,0,0,0,0,0,6.761987440750408
17,Agency_22,SKU_04,31.0554,2013-01-01,492612703,718394219,25.8452381,1742.112676,1598.414189,143.698487,48151,132110,0,0,1,0,0,0,0,0,0,0,0,0,8.24851853612251
18,Agency_13,SKU_07,7.965,2013-01-01,492612703,718394219,22.21973684,1139.335933,1139.335933,0.0,1520066,110666,0,0,1,0,0,0,0,0,0,0,0,0,0.0
19,Agency_38,SKU_01,7569.396,2013-01-01,492612703,718394219,22.21973684,1166.489506,1117.044979,49.444527,1515841,173884,0,0,1,0,0,0,0,0,0,0,0,0,4.238745976339704
20,Agency_41,SKU_02,3471.768,2013-01-01,492612703,718394219,23.89354839,1107.531873,1045.39289,62.138983,1573238,125229,0,0,1,0,0,0,0,0,0,0,0,0,5.610581917762996
21,Agency_31,SKU_04,1421.1999,2013-01-01,492612703,718394219,28.67435897,1814.164741,1531.567322,282.597419,181063,102731,0,0,1,0,0,0,0,0,0,0,0,0,15.577274357356718
